task_id,repository,difficulty,workspace_root,source_target,source_extension,instruction_preview,eligible
task-69391d8d1ce51c407be1e531,trufflesecurity/trufflehog,hard,/workspace,pkg/gitparse/gitparse.go,.go,The gitparse package and BufferedFileWriter both implement their own buffer pool logic and in-memory content writer with similar functionality. Refactor this duplicated code into two shared packages - one for the buffer pool and buffer prim,True
task-69391d8d1ce51c407be1e533,simple-login/app,easy,/code,app/custom_domain_utils.py,.py,Extract the custom domain deletion logic from the controller into a dedicated utility function for better separation of concerns. The controller should call this new function instead of having the deletion code inline. Keep the existing beh,True
task-694b4b99829f00e24fd11885,trufflesecurity/trufflehog,medium,/workspace,pkg/detectors/github/v1/github_old.go,.go,"The GitHub token detectors in v1 and v2 have a lot of duplicated code like the same struct definitions, verification logic, and response parsing appearing in both files. Any bug fix or update needs to be applied in two places. Can you conso",True
task-694b4b99829f00e24fd11889,trufflesecurity/trufflehog,medium,/app,pkg/handlers/ar.go,.go,"The file handlers in `pkg/handlers/` (`ar.go`, `archive.go`, `default.go`, `rpm.go`) have a confusing error handling pattern in their `HandleFile` goroutines.",True
task-694b4b99829f00e24fd11891,Automattic/wp-calypso,hard,/calypso,client/components/full-width-section/index.jsx,.jsx,The `marketplace-redesign` feature flag in the plugins area is checked via direct `isEnabled('marketplace-redesign')` calls in about 15 different files. This is fragile and incorrect because the redesign should not activate based on the fla,True
task-694b4b99829f00e24fd118a1,secdev/scapy,medium,/app,scapy/base_classes.py,.py,"The packet dump methods (for creating EPS, PDF, and SVG files) are currently duplicated across multiple classes in the codebase. Refactor these methods into a shared mixin class that can be inherited by both the packet class and the packet ",True
task-696719205599a51110d4b40c,trufflesecurity/trufflehog,medium,/app,main.go,.go,"The WithDetectors function in engine.go feels wrong. It takes a verify boolean alongside the detectors, which couples two unrelated concerns. When I call WithDetectors, I'm thinking about which detectors to use, not whether to verify result",True
task-696719205599a51110d4b419,trufflesecurity/trufflehog,medium,/app,pkg/common/chunker.go,.go,"The chunking logic in this codebase feels scattered and duplicated. Right now, the filesystem source and the S3 source each individually call `ChunkReader` from `pkg/common` to break their data into smaller pieces before sending chunks to t",True
task-696719205599a51110d4b426,Automattic/wp-calypso,medium,/calypso,client/dashboard/plugins/manage/components/action-render-modal.tsx,.tsx,"I need to clean up the confirmation message logic for plugin actions in the dashboard. There's still some leftover code handling cases that can't happen anymore now that plugin actions aren't done directly on plugins, and it makes the logic",True
task-696719205599a51110d4b428,Automattic/wp-calypso,hard,/calypso,client/a8c-for-agencies/components/sidebar-menu/hooks/use-main-menu-items.tsx,.tsx,# Problem Statement,True
task-696719205599a51110d4b434,Automattic/wp-calypso,medium,/workspace,client/dashboard/components/overview-card/card.stories.tsx,.tsx,# Combined Prompt,True
task-696719205599a51110d4b435,grafana/k6,medium,/src,internal/js/modules/k6/browser/common/locator.go,.go,I've been reviewing our browser module's locator.go in internal/js/modules/k6/browser/common/ and the Locator struct has an inconsistent internal pattern that makes the code harder to follow than it should be.,True
task-696719205599a51110d4b436,grafana/k6,hard,/src,internal/cmd/test_load.go,.go,"The module resolution system in `internal/js/bundle.go` is tightly coupled with bundle creation. Currently, `NewBundle` internally creates a compiler, a file loader, and a `ModuleResolver` all as part of bundle initialization. This means yo",True
task-696719205599a51110d4b439,grafana/k6,medium,/src,internal/js/modules/k6/browser/browser/browser_context_mapping.go,.go,"Hey, I need you to help me with eliminating duplicated verifications to check if Sobek is null or undefined in the browser module. Do this by reusing existent utilities from `js/common` if possible.",True
task-696719205599a51110d4b43d,grafana/k6,medium,/src,js/runner.go,.go,"The `NetTrail` type in `lib/netext/dialer.go` currently bundles network I/O metrics (data_sent, data_received) with iteration metrics (iteration_duration, iterations). This coupling is unnecessary and reduces maintainability.",True
task-696719205599a51110d4b43e,grafana/k6,medium,/go/src/go.k6.io/k6,cmd/runtime_options.go,.go,The JavaScript compiler module still contains references to Babel even though we've moved away from using it for transpilation. There are some unused configuration options that should be cleaned up. The parsing state also has confusingly ge,True
task-696719205599a51110d4b440,grafana/k6,hard,/go/src/go.k6.io/k6,js/compiler/compiler.go,.go,"The compiler's Compile method currently handles both parsing and compilation together, which prevents callers from accessing the intermediate AST representation. Refactor it to separate parsing from compilation so callers can inspect or mod",True
task-696719205599a51110d4b441,grafana/k6,hard,/go/src/go.k6.io/k6,api/v1/group_routes.go,.go,"Group and check state is duplicated across the Runner and VU state objects, with each VU mutating its group state as tests run through nested groups. The emitted metrics already contain group tags, so maintaining this state separately seems",True
task-696719205599a51110d4b445,grafana/k6,hard,/workspace,output/cloud/expv2/collect.go,.go,"The Insights functionality in the expv2 cloud output including request metadata collection, flushing, and the tracing enabled check is tightly coupled to that package. I'd like to extract all of this into a separate reusable package, replac",True
